"","1","2017","January","9"
"1",2,2017,"February",11
"2",3,2017,"March",7
"3",4,2017,"April",8
"4",5,2017,"May",7
"5",6,2017,"June",8
"6",7,2017,"July",13
"7",8,2017,"August",6
"8",9,2017,"September",11
"9",10,2017,"October",6
"10",11,2017,"November",8
"11",12,2017,"December",7
"12",13,2018,"January",9
"13",14,2018,"February",11
"14",15,2018,"March",4
"15",16,2018,"April",6
"16",17,2018,"May",9
"17",18,2018,"June",9
"18",19,2018,"July",9
"19",20,2018,"August",14
"20",21,2018,"September",8
"21",22,2018,"October",8
"22",23,2018,"November",6
"23",24,2018,"December",1
"24",25,2019,"Unknown",1
"25",26,2019,"January",15
"26",27,2019,"February",8
"27",28,2019,"March",7
"28",29,2019,"April",14
"29",30,2019,"May",10
"30",31,2019,"June",7
"31",32,2019,"July",15
"32",33,2019,"August",9
"33",34,2019,"September",5
"34",35,2019,"October",14
"35",36,2019,"November",12
"36",37,2019,"December",11
"37",38,2020,"January",11
"38",39,2020,"February",11
"39",40,2020,"March",7
"40",41,2020,"April",10
"41",42,2020,"May",16
"42",43,2020,"June",9
"43",44,2020,"July",15
"44",45,2020,"August",13
"45",46,2020,"September",8
"46",47,2020,"October",10
"47",48,2020,"November",15
"48",49,2020,"December",20
"49",50,2021,"Unknown",4
"50",51,2021,"January",20
"51",52,2021,"February",15
"52",53,2021,"March",15
"53",54,2021,"April",11
"54",55,2021,"May",23
"55",56,2021,"June",13
"56",57,2021,"July",16
"57",58,2021,"August",24
"58",59,2021,"September",18
"59",60,2021,"October",24
"60",61,2021,"November",26
"61",62,2021,"December",14
"62",63,2022,"Unknown",2
"63",64,2022,"January",24
"64",65,2022,"February",11
"65",66,2022,"March",11
"66",67,2022,"April",15
"67",68,2022,"May",23
"68",69,2022,"June",12
"69",70,2022,"July",19
"70",71,2022,"August",13
"71",72,2022,"September",14
"72",73,2022,"October",10
"73",74,2022,"November",18
"74",75,2022,"December",19
"75",76,2023,"January",18
"76",77,2023,"February",13
"77",78,2023,"March",13
"78",79,2023,"April",8
"79",80,2023,"May",14
"80",81,2023,"June",13
