Date_Displayed,Date_month,Count
Nov 2020,2020-11-30,15
Dec 2020,2020-12-31,20
Jan 2021,2021-01-31,20
Feb 2021,2021-02-28,15
Mar 2021,2021-03-31,15
Apr 2021,2021-04-30,11
May 2021,2021-05-31,23
Jun 2021,2021-06-30,13
Jul 2021,2021-07-31,16
Aug 2021,2021-08-31,24
Sep 2021,2021-09-30,18
Oct 2021,2021-10-31,24
Nov 2021,2021-11-30,26
Dec 2021,2021-12-31,14
Jan 2022,2022-01-31,24
Feb 2022,2022-02-28,11
Mar 2022,2022-03-31,11
Apr 2022,2022-04-30,15
May 2022,2022-05-31,23
Jun 2022,2022-06-30,12
Jul 2022,2022-07-31,19
Aug 2022,2022-08-31,13
Sep 2022,2022-09-30,14
Oct 2022,2022-10-31,10
Nov 2022,2022-11-30,18
Dec 2022,2022-12-31,19
Jan 2023,2023-01-31,18
Feb 2023,2023-02-28,13
Mar 2023,2023-03-31,13
Apr 2023,2023-04-30,8
May 2023,2023-05-31,14
Jun 2023,2023-06-30,13
